"","sample","slope","R2","Pvalue","SEslope","Salinity","Species","Year"
"73",73,1.71837708830549,0.875626372388942,0.229449937018984,0.647624406966884,500,"Nereis","2018"
"74",74,0.00986842105263122,0.163636363636356,0.595480082522064,0.0157757615898443,1000,"Nereis","2018"
"75",75,-1.3811320754717,0.837800988179373,0.0846853064768525,0.429708437667489,1500,"Nereis","2018"
"76",76,0.0633484162895923,0.699999999999994,0.163339973465928,0.0293246185448321,500,"Uca","2018"
"77",77,0.0949367088607593,0.642857142857144,0.198216274262726,0.0500360389267146,1000,"Uca","2018"
"78",78,-0.0150375939849624,0.0105263157894737,0.897402164791485,0.103092550381971,1500,"Uca","2018"
"79",79,0.816023738872404,0.991153342070773,0.0599669789386258,0.0770942495950542,500,"Nereis","2018"
"80",80,-0.0164609053497942,0.0307692307692307,0.824588396138595,0.0653271928657924,1000,"Nereis","2018"
"81",81,-0.920289855072463,0.907653348339899,0.0472915722321448,0.207567907063805,1500,"Nereis","2018"
"82",82,-0.0977443609022558,0.504477611940298,0.289734125879401,0.06849950059507,500,"Uca","2018"
"83",83,-4.26995874358531e-16,4.96891454594414e-30,0.999999999999998,0.133883927657257,1000,"Uca","2018"
"84",84,-0.0792682926829266,0.229931972789115,0.520487776183845,0.102576852690614,1500,"Uca","2018"
"85",85,-1.56587030716724,0.36194114232421,0.398384556112287,1.47011796818573,500,"Nereis","2018"
"86",86,-1.2956,0.630127066050862,0.206194566628029,0.701888538159728,1000,"Nereis","2018"
"87",87,3.83804143126177,0.848047002966497,0.0791053247159601,1.14878652844464,1500,"Nereis","2018"
"88",88,-0.263333333333334,0.43904326415758,0.33739660115754,0.210475651798492,500,"Uca","2018"
"89",89,-0.184965034965035,0.507054783971589,0.28792220651702,0.128957476744671,1000,"Uca","2018"
"90",90,-0.177142857142857,0.805559832349669,0.102470149605224,0.061539326556571,1500,"Uca","2018"
"91",91,0.876662636033857,0.984992816540695,0.0781847410659668,0.108209542592979,500,"Nereis","2018"
"92",92,0.000723850886717367,0.000213219616204718,0.985397958491885,0.0350488868437979,1000,"Nereis","2018"
"93",93,-1.05570152390962,0.875920799771692,0.0640935945450034,0.280959178074234,1500,"Nereis","2018"
"94",94,0.126634549208534,0.422777222777224,0.349786786678997,0.104629259127212,500,"Uca","2018"
"95",95,-0.0934974990380915,0.205477163984341,0.546704109896923,0.130003907760085,1000,"Uca","2018"
"96",96,-0.0668369518944236,0.486605468364432,0.302428879350333,0.048544358289186,1500,"Uca","2018"
"97",97,-1.06207324643079,0.77150168332422,0.121648314554916,0.408707431760077,500,"Nereis","2018"
"98",98,-0.259129472519365,0.526258612576994,0.274563157416861,0.173849268941398,1000,"Nereis","2018"
"99",99,7.83343391671696,1,NA,NA,1500,"Nereis","2018"
"100",100,0.0171919770773639,0.00284360189573461,0.946674566145838,0.227644974968954,500,"Uca","2018"
"101",101,0.34040590405904,0.730418689483141,0.145354641103609,0.14623153461154,1000,"Uca","2018"
"102",102,0.294416243654822,0.828203111643017,0.0899433470145844,0.0948169513599252,1500,"Uca","2018"
